[ 0. 90.  0. 90.]
[ 0. 90. 90.  0.]
[90. 90. 90. 90.]
[ 0. 90.  0.  0.]
[  0.           0.          46.84985924 -46.84985924]
[ 1.40499001e-32  9.00000000e+01  2.78049238e-16 -9.00000000e+01]
[ 0. 90.  0. 90.]
[ 0. 90.  0. 90.]
[-9.00000000e+01 -9.00000000e+01  8.14539964e-16 -2.56481740e-15]
[ 9.00000000e+01 -9.00000000e+01  9.00000000e+01 -1.19435203e-14]
[ 0.  0. 90. 90.]
[ 0.  0. 90. 90.]
[90. 90. 90.  0.]
[90. 90.  0.  0.]
[ 0. 90. 90. 90.]
[ 0.  0. 90.  0.]
[ 0.00000000e+00 -4.18644050e-16  5.78798406e+01 -5.78798406e+01]
[ 0.  0. 90.  0.]
[-90.  90. -90.  90.]
[ 0. 90.  0. 90.]
[-4.43953051e-29  9.00000000e+01 -2.89704310e+01  2.89704310e+01]
[ 0. 90.  0. 90.]
[ 3.72015481e-30  9.00000000e+01 -8.99999991e+01  7.75710372e-15]
[ 2.55707841e-16 -5.51347109e-31  2.93148867e+01 -2.93148867e+01]
[ 0.  0.  0. 90.]
[  1.85145106 -89.99999915   0.29794689  36.61758663]
[90. 90.  0. 90.]
[ 0. 90. 90.  0.]
[ 0.  0. 90.  0.]
[90. 90. 90.  0.]
[ 0. 90.  0. 90.]
[  0.          90.          37.17791504 -37.17791504]
[-1.16477399e-32  9.00000000e+01  2.89651043e+01 -2.89651043e+01]
[-69.52005897 -90.         -18.5945241   63.29730498]
[90. 90.  0.  0.]
[ 0. 90.  0. 90.]
[ 0. 90.  0. 90.]
[-9.00000000e+01  1.35675460e-16  2.89923929e+01 -2.89923929e+01]
[-3.00000000e+01 -3.01855109e-31 -1.36708913e+00  1.36708913e+00]
[  0.          28.33610513 -28.33610513  90.        ]
[90. 90.  0. 90.]
[ 0. 90.  0.  0.]
[ 64.08313163 -90.          53.74343074  21.98698235]
[ 3.00000000e+01 -3.00867016e-32  9.00000000e+01 -3.25939707e-15]
[ -0.85260735  90.         -64.79670978   8.75928499]
[ 0. 90.  0. 90.]
[ 0. 90.  0.  0.]
[ 0.  0. 90.  0.]
[90.  0. 90.  0.]
[90. 90.  0. 90.]
[ 0. 90. 90.  0.]
[-2.85038161e-15  1.17717025e+01 -5.52977294e+01 -2.53654423e+00]
[ 0. 90.  0. 90.]
[90. 90.  0.  0.]
[ 0. 90. 90.  0.]
[ 1.17812075e-29  4.10360962e+01 -4.10360962e+01  9.00000000e+01]
[ 0. 90.  0.  0.]
[90. 90.  0.  0.]
[ 0.  0.  0. 90.]
[ 0. 90. 90. 90.]
[  0.          63.37480519 -63.37480519   0.        ]
[90. 90.  0.  0.]
[ 0. 90.  0.  0.]
[-5.24206073e-31  4.26308441e+01 -4.26308441e+01  0.00000000e+00]
[ 0. 90.  0. 90.]
[90. 90. 90.  0.]
[ 0.  0. 90.  0.]
[ 6.79198847e-32 -1.69648206e-16  5.50718581e+01 -5.50718581e+01]
[ 1.00760630e-13 -8.28339967e+01 -2.32640272e+01  2.03596106e+01]
[ 0. 90. 90.  0.]
[ 0. 90. 90. 90.]
[  0.           0.          16.08007674 -16.08007674]
[ 1.29825956e-32  2.49492230e-17 -9.00000000e+01 -1.93955358e-18]
[ 0. 90.  0. 90.]
[ 90.          90.          37.33351973 -37.33351973]
[ 30.  90. -90.  90.]
[90. 90.  0.  0.]
[90. 90. 90.  0.]
[  0.          23.44491962 -23.44491962  90.        ]
[ 5.82463089e-14 -4.88891547e+01 -1.19159436e+01  3.57202279e+01]
[  0.          90.          57.24131374 -57.24131374]
[ 1.00678340e-33 -4.06166305e-16  5.60051554e+01 -5.60051554e+01]
[ 0.  0. 90.  0.]
[ 0. 90. 90. 90.]
[ 0. 90. 90.  0.]
[ 0. 90. 90.  0.]
[ 0. 90.  0.  0.]
[ 0. 90.  0. 90.]
[ 0.  0. 90.  0.]
[-9.00000000e+01 -9.00000000e+01 -9.00000000e+01  4.32838949e-16]
[ 0.  0. 90.  0.]
[  0.         -13.29976228  13.29976228  90.        ]
[  0.          90.          49.86584596 -49.86584596]
[ 0. 90. 90.  0.]
[  0.         47.1808318 -47.1808318   0.       ]
[ 0.  0. 90.  0.]
[  0.          27.49305907 -27.49305907  90.        ]
[ -3.22974488  90.         -45.65085538  14.32255748]
[ 4.47894441e-31  4.32300052e+01 -4.32300052e+01 -8.99999991e+01]
[  0.          90.          14.47751219 -14.47751219]
[90. 90.  0. 90.]
[ 82.07017752 -89.99999915  -6.47426676  50.10484025]
[ 0. 90.  0.  0.]
[ 0. 90.  0. 90.]
[ 0.  0. 90. 90.]
[ 90.         -90.          17.90265181 -17.90265181]
[90. 90.  0. 90.]
[ 0.  0.  0. 90.]
[  0.          90.          50.42923588 -50.42923588]
[90. 90.  0. 90.]
[ 0. 90.  0. 90.]
[ 8.61375952e-14 -2.41186830e+01 -4.87893477e+01  3.81616742e+01]
[90. 90. 90. 90.]
